# MISO pricing node directory with approximate geographic coordinates.
# Hubs use a representative city in their region; load zones use the centroid
# of the utility's service territory. Aliases are |-separated alternate CPNode
# names that may appear in the Data Broker consolidated LMP table.
# nodeId,aliases,displayName,type,lat,lon
MINN.HUB,,Minnesota Hub,HUB,44.98,-93.27
ILLINOIS.HUB,,Illinois Hub,HUB,39.78,-89.65
MICHIGAN.HUB,,Michigan Hub,HUB,42.73,-84.55
INDIANA.HUB,,Indiana Hub,HUB,39.77,-86.16
ARKANSAS.HUB,,Arkansas Hub,HUB,34.75,-92.29
LOUISIANA.HUB,,Louisiana Hub,HUB,30.45,-91.19
TEXAS.HUB,,Texas Hub,HUB,30.08,-94.13
MS.HUB,,Mississippi Hub,HUB,32.30,-90.18
ALTW,ALTW.LZ|ALTW.ALTW,ITC Midwest (Alliant West) - Iowa,ZONE,41.98,-91.67
AMIL,AMIL.LZ,Ameren Illinois,ZONE,40.12,-89.37
AMMO,AMMO.LZ,Ameren Missouri - St. Louis,ZONE,38.63,-90.20
BREC,BREC.LZ,Big Rivers Electric - W. Kentucky,ZONE,37.84,-87.59
CLEC,CLEC.LZ,Cleco Power - Central Louisiana,ZONE,31.31,-92.45
CONS,CONS.LZ,Consumers Energy - Michigan,ZONE,42.97,-84.55
CWLD,CWLD.LZ,Columbia Water & Light - Missouri,ZONE,38.95,-92.33
DECO,DECO.LZ,DTE Electric - Detroit,ZONE,42.33,-83.05
DPC,DPC.LZ,Dairyland Power - W. Wisconsin,ZONE,43.81,-91.25
EAI,EAI.LZ,Entergy Arkansas,ZONE,34.75,-92.29
EES,EES.LZ,Entergy - Louisiana/Gulf,ZONE,29.95,-90.07
EDE,EDE.LZ,Liberty (Empire District) - SW Missouri,ZONE,37.08,-94.51
GRE,GRE.LZ,Great River Energy - Minnesota,ZONE,45.07,-93.46
HE,HE.LZ,Hoosier Energy - S. Indiana,ZONE,39.17,-86.53
IPL,IPL.LZ,AES Indiana - Indianapolis,ZONE,39.77,-86.16
LAFA,LAFA.LZ,Lafayette Utilities - Louisiana,ZONE,30.22,-92.02
LAGN,LAGN.LZ,Louisiana Generating,ZONE,30.70,-91.44
MDU,MDU.LZ,Montana-Dakota Utilities,ZONE,46.81,-100.78
MEC,MEC.LZ,MidAmerican Energy - Iowa,ZONE,41.59,-93.62
MGE,MGE.LZ,Madison Gas & Electric - Wisconsin,ZONE,43.07,-89.40
MP,MP.LZ,Minnesota Power - Duluth,ZONE,46.79,-92.10
MPW,MPW.LZ,Muscatine Power & Water - Iowa,ZONE,41.42,-91.04
NIPS,NIPS.LZ,NIPSCO - N. Indiana,ZONE,41.48,-87.33
NSP,NSP.LZ,Xcel Energy (NSP) - Minneapolis,ZONE,44.98,-93.27
OTP,OTP.LZ,Otter Tail Power - W. Minnesota,ZONE,46.28,-96.08
SIGE,SIGE.LZ,CenterPoint (SIGECO) - Evansville IN,ZONE,37.97,-87.57
SIPC,SIPC.LZ,Southern Illinois Power,ZONE,37.73,-88.93
SME,SME.LZ,Cooperative Energy - S. Mississippi,ZONE,31.33,-89.29
UPPC,UPPC.LZ,Upper Peninsula Power - Michigan,ZONE,46.55,-87.40
WEC,WEC.LZ,We Energies - Milwaukee,ZONE,43.04,-87.91
WPS,WPS.LZ,Wisconsin Public Service - Green Bay,ZONE,44.51,-88.01
